Operation,Status,Category,Cost Formula,Active Weight,Empirical Weight,Reviewer Weight,Effective Cost Example,Confidence,Notes,Exclusion Reason,Hardware FP Instructions (per analytical FLOP),Timing Weight,Perf/Timing Agreement,Measurement Spread (CV),Benchmark Command,Benchmark Size,Total Perf Instructions,Total Timing (ns),Implementation,Weight Tier,Repeats
random.gamma,benchmarked,Random,numel(output),16.0000,44.5281,,"16,000 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,44.53,20.1877,0.7926,0.0000,"np.random.gamma(2.0, 1.0, 10000000)","output: (10000000,)","[4452906405, 4452807840, 4452685178]",3952712443,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/random/__init__.py#L152,moderate,10
random.geometric,benchmarked,Random,numel(output),16.0000,6.0000,,"16,000 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,6.00,11.7887,1.3572,0.0000,"np.random.geometric(0.5, 10000000)","output: (10000000,)","[599973713, 599998363, 599997049]",2308207315,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/random/__init__.py#L126,moderate,10
random.gumbel,benchmarked,Random,numel(output),16.0000,51.8584,,"16,000 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,51.86,12.8632,1.2439,0.0000,"np.random.gumbel(0.0, 1.0, 10000000)","output: (10000000,)","[5185839629, 5185901713, 5185717552]",2518590093,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/random/__init__.py#L138,moderate,10
random.hypergeometric,benchmarked,Random,numel(output),16.0000,573.5947,,"16,000 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,573.59,125.5766,0.1274,0.0000,"np.random.hypergeometric(100, 50, 20, 10000000)","output: (10000000,)","[57355551117, 57359471843, 57360943316]",24587616622,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/random/__init__.py#L127,moderate,10
random.laplace,benchmarked,Random,numel(output),16.0000,29.5617,,"16,000 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,29.56,11.3316,1.4120,0.0000,"np.random.laplace(0.0, 1.0, 10000000)","output: (10000000,)","[2956305476, 2956162932, 2956168393]",2218706857,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/random/__init__.py#L139,moderate,10
random.logistic,benchmarked,Random,numel(output),16.0000,29.5397,,"16,000 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,29.54,8.2108,1.9487,0.0000,"np.random.logistic(0.0, 1.0, 10000000)","output: (10000000,)","[2954111933, 2953952490, 2953970748]",1607662898,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/random/__init__.py#L140,moderate,10
random.lognormal,benchmarked,Random,numel(output),16.0000,44.3069,,"16,000 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,44.31,17.3850,0.9203,0.0000,"np.random.lognormal(0.0, 1.0, 10000000)","output: (10000000,)","[4430672154, 4430895107, 4430693208]",3403948740,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/random/__init__.py#L141,moderate,10
random.logseries,benchmarked,Random,numel(output),16.0000,43.5238,,"16,000 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,43.52,18.1831,0.8799,0.0001,"np.random.logseries(0.5, 10000000)","output: (10000000,)","[4352380333, 4352564797, 4352117365]",3560206382,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/random/__init__.py#L129,moderate,10
random.multinomial,benchmarked,Random,numel(output),16.0000,136.9985,,"16,000 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,137.00,57.4964,0.2783,0.0000,"np.random.multinomial(10, [0.2, 0.3, 0.5], 10000000)","n_trials=10, pvals: (3,), size=10000000","[13699848224, 13699743882, 13699859245]",11257654205,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/random/__init__.py#L153,moderate,10
random.multivariate_normal,benchmarked,Random,numel(output),16.0000,433.0721,,"16,000 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,433.07,155.2207,0.1031,0.0000,"np.random.multivariate_normal(_mean, _cov, 10000000)","mean: (10,), cov: (10,10), size=10000000","[43306919828, 43307835048, 43307210747]",30391857141,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/random/__init__.py#L155,moderate,10
random.negative_binomial,benchmarked,Random,numel(output),16.0000,141.8094,,"16,000 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,141.81,63.1891,0.2532,0.0001,"np.random.negative_binomial(10, 0.5, 10000000)","output: (10000000,)","[14181999938, 14180603895, 14180944956]",12372280448,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/random/__init__.py#L128,moderate,10
random.noncentral_chisquare,benchmarked,Random,numel(output),16.0000,150.1467,,"16,000 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,150.15,40.8391,0.3918,0.0000,"np.random.noncentral_chisquare(2, 1.0, 10000000)","output: (10000000,)","[15014116380, 15014672435, 15014868407]",7996199158,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/random/__init__.py#L147,moderate,10
random.noncentral_f,benchmarked,Random,numel(output),16.0000,120.8930,,"16,000 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,120.89,48.6699,0.3287,0.0000,"np.random.noncentral_f(5, 10, 1.0, 10000000)","output: (10000000,)","[12089303643, 12089909616, 12089132805]",9529450301,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/random/__init__.py#L149,moderate,10
random.normal,benchmarked,Random,numel(output),16.0000,24.3069,,"16,000 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,24.31,10.8815,1.4704,0.0001,"np.random.normal(0.0, 1.0, 10000000)","output: (10000000,)","[2430672154, 2430895107, 2430693208]",2130579713,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/random/__init__.py#L117,moderate,10
random.pareto,benchmarked,Random,numel(output),16.0000,49.0629,,"16,000 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,49.06,12.2031,1.3111,0.0000,"np.random.pareto(3.0, 10000000)","output: (10000000,)","[4906290642, 4906353032, 4906228150]",2389344238,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/random/__init__.py#L131,moderate,10
random.power,benchmarked,Random,numel(output),16.0000,110.0629,,"16,000 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,110.06,25.3803,0.6304,0.0000,"np.random.power(5.0, 10000000)","output: (10000000,)","[11006290642, 11006353032, 11006228150]",4969411290,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/random/__init__.py#L130,moderate,10
random.randn,benchmarked,Random,numel(output),16.0000,22.3069,,"16,000 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,22.31,10.4860,1.5258,0.0001,np.random.randn(10000000),"output: (10000000,)","[2230672130, 2230895083, 2230693184]",2053131062,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/random/__init__.py#L110,moderate,10
random.rayleigh,benchmarked,Random,numel(output),16.0000,38.0709,,"16,000 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,38.07,12.9351,1.2369,0.0000,"np.random.rayleigh(1.0, 10000000)","output: (10000000,)","[3807131639, 3807080807, 3807090982]",2532661523,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/random/__init__.py#L132,moderate,10
random.triangular,benchmarked,Random,numel(output),16.0000,11.0000,,"16,000 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,11.00,8.2561,1.9380,0.0000,"np.random.triangular(-1.0, 0.0, 1.0, 10000000)","output: (10000000,)","[1099999360, 1100018810, 1100001070]",1616520497,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/random/__init__.py#L144,moderate,10
random.vonmises,benchmarked,Random,numel(output),16.0000,104.4415,,"16,000 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,104.44,40.8426,0.3917,0.0000,"np.random.vonmises(0.0, 1.0, 10000000)","output: (10000000,)","[10444148443, 10444455075, 10444132521]",7996888839,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/random/__init__.py#L142,moderate,10
random.wald,benchmarked,Random,numel(output),16.0000,39.9707,,"16,000 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,39.97,23.4729,0.6816,0.0000,"np.random.wald(1.0, 1.0, 10000000)","output: (10000000,)","[3997065808, 3997200656, 3997005363]",4595941410,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/random/__init__.py#L143,moderate,10
random.weibull,benchmarked,Random,numel(output),16.0000,89.0629,,"16,000 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,89.06,19.7279,0.8110,0.0000,"np.random.weibull(2.0, 10000000)","output: (10000000,)","[8906290642, 8906353032, 8906228150]",3862676400,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/random/__init__.py#L136,moderate,10
random.zipf,benchmarked,Random,numel(output),16.0000,229.7840,,"16,000 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,229.78,54.5976,0.2931,0.0000,"np.random.zipf(2.0, 10000000)","output: (10000000,)","[22978396963, 22977949429, 22978550971]",10690089301,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/random/__init__.py#L137,moderate,10
random.uniform,benchmarked,Random,numel(output),1.0000,5.0001,,"1,000 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,5.00,3.3088,0.3022,0.0000,"np.random.uniform(0.0, 1.0, 10000000)","output: (10000000,)","[500009630, 500009630, 500009630]",647861890,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/random/__init__.py#L118,baseline,10
random.permutation,benchmarked,Random,numel(output),1.0000,0.0001,,"1,000 FLOPs (1000 elements)",high,Shuffle; cost = n*ceil(log2(n)).,,0.00,10.2756,0.0973,0.0000,np.random.permutation(10000000),n=10000000,"[9606, 9606, 9606]",2011937361,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/random/__init__.py#L198,baseline,10
random.shuffle,benchmarked,Random,numel(output),1.0000,0.2001,,"1,000 FLOPs (1000 elements)",high,Shuffle; cost = n*ceil(log2(n)).,,0.20,9.4054,0.1063,0.0000,np.random.shuffle(x),"x: (10000000,)","[20009594, 20009594, 20009594]",1841548897,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/random/__init__.py#L213,baseline,10
random.choice,benchmarked,Random,numel(output),1.0000,0.0001,,"1,000 FLOPs (1000 elements)",high,"Sampling; cost = numel(output) if replace, n*ceil(log2(n)) if not.",,0.00,2.9891,0.3345,0.0000,"np.random.choice(_pool, 10000000)","pool: (1000,), size=10000000","[9597, 9597, 9597]",585249739,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/random/__init__.py#L237,baseline,10
random.rand,benchmarked,Random,numel(output),1.0000,3.0001,,"1,000 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,3.00,2.9985,0.3335,0.0000,np.random.rand(10000000),"output: (10000000,)","[300009596, 300009596, 300009596]",587092693,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/random/__init__.py#L109,baseline,10
random.randint,benchmarked,Random,numel(output),1.0000,0.0001,,"1,000 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,0.00,1.9079,0.5241,0.0000,"np.random.randint(0, 1000, 10000000)","output: (10000000,)","[9596, 9596, 9596]",373561982,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/random/__init__.py#L158,baseline,10
random.random,benchmarked,Random,numel(output),1.0000,3.0001,,"1,000 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,3.00,3.0165,0.3315,0.0000,np.random.random(10000000),"output: (10000000,)","[300009596, 300009596, 300009596]",590627361,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/random/__init__.py#L179,baseline,10
random.random_sample,benchmarked,Random,numel(output),1.0000,3.0001,,"1,000 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,3.00,3.0089,0.3323,0.0000,np.random.random_sample(10000000),"output: (10000000,)","[300009596, 300009596, 300009596]",589134243,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/random/__init__.py#L180,baseline,10
random.bytes,benchmarked,Random,numel(output),1.0000,0.8610,,"1,000 FLOPs (1000 elements)",,EC2 timing = 0.86. Fast PRNG byte generation — cheaper than add.,,1.00,0.0000,N/A,N/A,np.random.bytes(N),N/A,[],0,,baseline,0
random.random_integers,benchmarked,Random,numel(output),1.0000,3.5105,,"1,000 FLOPs (1000 elements)",,EC2 timing = 3.51. Deprecated randint wrapper.,,0.00,0.0000,N/A,N/A,N/A,N/A,[],,,baseline,0
stats.norm.pdf,benchmarked,Stats,numel(input),16.0000,27.0000,,"16,000 FLOPs (1000 elements)",high,"Raw alpha=27.3002, setup overhead=0.3002 subtracted. FP instruction count per element.",,27.30,0.0000,N/A,0.0034,_dist._compute_pdf(x),"x: (10000000,)","[2714153591, 2730018817, 2730018858]",,,moderate,10
stats.norm.cdf,benchmarked,Stats,numel(input),16.0000,47.5991,,"16,000 FLOPs (1000 elements)",low,"Raw alpha=47.8993, setup overhead=0.3002 subtracted. FP instruction count per element.",,47.90,0.0000,N/A,0.2654,_dist._compute_cdf(x),"x: (10000000,)","[3007601731, 5143335657, 4789933658]",,,moderate,10
stats.norm.ppf,benchmarked,Stats,numel(input),16.0000,83.0527,,"16,000 FLOPs (1000 elements)",high,"Raw alpha=83.3529, setup overhead=0.3002 subtracted. FP instruction count per element.",,83.35,0.0000,N/A,0.0000,_dist._compute_ppf(x),"x: (10000000,)","[8335593509, 8335291409, 8335097729]",,,moderate,10
stats.expon.pdf,benchmarked,Stats,numel(input),16.0000,25.0000,,"16,000 FLOPs (1000 elements)",high,"Raw alpha=25.3002, setup overhead=0.3002 subtracted. FP instruction count per element.",,25.30,0.0000,N/A,0.0036,_dist._compute_pdf(x),"x: (10000000,)","[2514125921, 2530018807, 2530018848]",,,moderate,10
stats.expon.cdf,benchmarked,Stats,numel(input),16.0000,25.0000,,"16,000 FLOPs (1000 elements)",high,"Raw alpha=25.3002, setup overhead=0.3002 subtracted. FP instruction count per element.",,25.30,0.0000,N/A,0.0036,_dist._compute_cdf(x),"x: (10000000,)","[2514125921, 2530018807, 2530018848]",,,moderate,10
stats.expon.ppf,benchmarked,Stats,numel(input),16.0000,43.0000,,"16,000 FLOPs (1000 elements)",high,"Raw alpha=43.3002, setup overhead=0.3002 subtracted. FP instruction count per element.",,43.30,0.0000,N/A,0.0000,_dist._compute_ppf(x),"x: (10000000,)","[4330018889, 4330018889, 4330018889]",,,moderate,10
stats.cauchy.cdf,benchmarked,Stats,numel(input),16.0000,51.0000,,"16,000 FLOPs (1000 elements)",high,"Raw alpha=51.3002, setup overhead=0.3002 subtracted. FP instruction count per element.",,51.30,0.0000,N/A,0.0018,_dist._compute_cdf(x),"x: (10000000,)","[5114125921, 5130018807, 5130018848]",,,moderate,10
stats.cauchy.ppf,benchmarked,Stats,numel(input),16.0000,64.0000,,"16,000 FLOPs (1000 elements)",high,"Raw alpha=64.3002, setup overhead=0.3002 subtracted. FP instruction count per element.",,64.30,0.0000,N/A,0.0000,_dist._compute_ppf(x),"x: (10000000,)","[6430018889, 6430018889, 6430018889]",,,moderate,10
stats.logistic.pdf,benchmarked,Stats,numel(input),16.0000,28.0000,,"16,000 FLOPs (1000 elements)",high,"Raw alpha=28.3002, setup overhead=0.3002 subtracted. FP instruction count per element.",,28.30,0.0000,N/A,0.0032,_dist._compute_pdf(x),"x: (10000000,)","[2814125921, 2830018807, 2830018848]",,,moderate,10
stats.logistic.cdf,benchmarked,Stats,numel(input),16.0000,26.0000,,"16,000 FLOPs (1000 elements)",high,"Raw alpha=26.3002, setup overhead=0.3002 subtracted. FP instruction count per element.",,26.30,0.0000,N/A,0.0035,_dist._compute_cdf(x),"x: (10000000,)","[2614125921, 2630018807, 2630018848]",,,moderate,10
stats.logistic.ppf,benchmarked,Stats,numel(input),16.0000,35.0000,,"16,000 FLOPs (1000 elements)",high,"Raw alpha=35.3002, setup overhead=0.3002 subtracted. FP instruction count per element.",,35.30,0.0000,N/A,0.0000,_dist._compute_ppf(x),"x: (10000000,)","[3530018889, 3530018889, 3530018889]",,,moderate,10
stats.laplace.pdf,benchmarked,Stats,numel(input),16.0000,25.0000,,"16,000 FLOPs (1000 elements)",high,"Raw alpha=25.3002, setup overhead=0.3002 subtracted. FP instruction count per element.",,25.30,0.0000,N/A,0.0036,_dist._compute_pdf(x),"x: (10000000,)","[2514125931, 2530018817, 2530018858]",,,moderate,10
stats.laplace.cdf,benchmarked,Stats,numel(input),16.0000,49.0000,,"16,000 FLOPs (1000 elements)",high,"Raw alpha=49.3002, setup overhead=0.3002 subtracted. FP instruction count per element.",,49.30,0.0000,N/A,0.0019,_dist._compute_cdf(x),"x: (10000000,)","[4914125921, 4930018807, 4930018848]",,,moderate,10
stats.laplace.ppf,benchmarked,Stats,numel(input),16.0000,71.0000,,"16,000 FLOPs (1000 elements)",high,"Raw alpha=71.3002, setup overhead=0.3002 subtracted. FP instruction count per element.",,71.30,0.0000,N/A,0.0000,_dist._compute_ppf(x),"x: (10000000,)","[7130018889, 7130018889, 7130018889]",,,moderate,10
stats.lognorm.pdf,benchmarked,Stats,numel(input),16.0000,62.0000,,"16,000 FLOPs (1000 elements)",high,"Raw alpha=62.3002, setup overhead=0.3002 subtracted. FP instruction count per element.",,62.30,0.0000,N/A,0.0015,"_dist._compute_pdf(x, s=0.5)","x: (10000000,)","[6214125944, 6230018830, 6230018871]",,,moderate,10
stats.lognorm.cdf,benchmarked,Stats,numel(input),16.0000,69.9835,,"16,000 FLOPs (1000 elements)",medium,"Raw alpha=70.2837, setup overhead=0.3002 subtracted. FP instruction count per element.",,70.28,0.0000,N/A,0.1699,"_dist._compute_cdf(x, s=0.5)","x: (10000000,)","[6461856914, 7028367200, 8884587401]",,,moderate,10
stats.lognorm.ppf,benchmarked,Stats,numel(input),16.0000,106.0527,,"16,000 FLOPs (1000 elements)",high,"Raw alpha=106.3529, setup overhead=0.3002 subtracted. FP instruction count per element.",,106.35,0.0000,N/A,0.0000,"_dist._compute_ppf(x, s=0.5)","x: (10000000,)","[10635593532, 10635291432, 10635097752]",,,moderate,10
stats.truncnorm.pdf,benchmarked,Stats,numel(input),16.0000,28.0000,,"16,000 FLOPs (1000 elements)",high,"Raw alpha=28.3002, setup overhead=0.3002 subtracted. FP instruction count per element.",,28.30,0.0000,N/A,0.0032,"_dist._compute_pdf(x, a=-2, b=2)","x: (10000000,)","[2814130301, 2830023187, 2830023228]",,,moderate,10
stats.truncnorm.cdf,benchmarked,Stats,numel(input),16.0000,50.5992,,"16,000 FLOPs (1000 elements)",low,"Raw alpha=50.8994, setup overhead=0.3002 subtracted. FP instruction count per element.",,50.90,0.0000,N/A,0.2481,"_dist._compute_cdf(x, a=-2, b=2)","x: (10000000,)","[3307606091, 5443340017, 5089938018]",,,moderate,10
stats.truncnorm.ppf,benchmarked,Stats,numel(input),16.0000,82.5206,,"16,000 FLOPs (1000 elements)",high,"Raw alpha=82.8208, setup overhead=0.3002 subtracted. FP instruction count per element.",,82.82,0.0000,N/A,0.0000,"_dist._compute_ppf(x, a=-2, b=2)","x: (10000000,)","[8282075099, 8282142419, 8282011819]",,,moderate,10
stats.cauchy.pdf,benchmarked,Stats,numel(input),4.0000,6.0000,,"4,000 FLOPs (1000 elements)",high,"Raw alpha=6.3002, setup overhead=0.3002 subtracted. FP instruction count per element.",,6.30,0.0000,N/A,0.0147,_dist._compute_pdf(x),"x: (10000000,)","[614125931, 630018817, 630018858]",,,moderate,10
stats.uniform.pdf,benchmarked,Stats,numel(input),1.0000,0.0000,,"1,000 FLOPs (1000 elements)",low,"Raw alpha=0.3002, setup overhead=0.3002 subtracted. FP instruction count per element.",,0.30,0.0000,N/A,0.3712,_dist._compute_pdf(x),"x: (10000000,)","[14125931, 30018817, 30018858]",,,baseline,10
stats.uniform.cdf,benchmarked,Stats,numel(input),1.0000,4.0000,,"1,000 FLOPs (1000 elements)",high,"Raw alpha=4.3002, setup overhead=0.3002 subtracted. FP instruction count per element.",,4.30,0.0000,N/A,0.0216,_dist._compute_cdf(x),"x: (10000000,)","[414125921, 430018807, 430018848]",,,baseline,10
stats.uniform.ppf,benchmarked,Stats,numel(input),1.0000,2.0000,,"1,000 FLOPs (1000 elements)",high,"Raw alpha=2.3002, setup overhead=0.3002 subtracted. FP instruction count per element.",,2.30,0.0000,N/A,0.0000,_dist._compute_ppf(x),"x: (10000000,)","[230018889, 230018889, 230018889]",,,baseline,10
fromiter,benchmarked,Misc,numel(output),16.0000,20.3777,,"16,000 FLOPs (1000 elements)",,EC2 timing = 20.38. Python iterator overhead per element.,,0.00,0.0000,N/A,N/A,N/A,N/A,[],,,moderate,0
apply_along_axis,benchmarked,Misc,numel(output),4.0000,1.9490,,"4,000 FLOPs (1000 elements)",,EC2 timing = 1.95. Note: cost formula (result.size) underestimates — actual work is input.size.,,0.00,0.0000,N/A,N/A,N/A,N/A,[],,,moderate,0
argwhere,benchmarked,Misc,numel(input),4.0000,1.9631,,"4,000 FLOPs (1000 elements)",,EC2 timing ratio vs add = 1.9631.,,0.00,0.0000,N/A,N/A,N/A,N/A,[],,,moderate,0
bmat,benchmarked,Misc,numel(output),4.0000,3.0046,,"4,000 FLOPs (1000 elements)",,EC2 timing = 3.00. Block matrix assembly from nested list.,,0.00,0.0000,N/A,N/A,N/A,N/A,[],,,moderate,0
choose,benchmarked,Misc,numel(output),4.0000,8.0516,,"4,000 FLOPs (1000 elements)",,EC2 timing ratio vs add = 8.0516.,,0.00,0.0000,N/A,N/A,N/A,N/A,[],,,moderate,0
compress,benchmarked,Misc,numel(input),4.0000,2.4640,,"4,000 FLOPs (1000 elements)",,EC2 timing ratio vs add = 2.4640.,,0.00,0.0000,N/A,N/A,N/A,N/A,[],,,moderate,0
diag,benchmarked,Misc,"numel(output) when 1D->2D, min(m,n) when 2D->1D",4.0000,0.3780,,"4,000 FLOPs (1000 elements)",,EC2 timing = 0.38 (1D->2D). Formula fixed to numel(output) for construction.,,0.00,0.0000,N/A,N/A,N/A,N/A,[],,,moderate,0
extract,benchmarked,Misc,numel(input),4.0000,2.4549,,"4,000 FLOPs (1000 elements)",,EC2 timing ratio vs add = 2.4549.,,0.00,0.0000,N/A,N/A,N/A,N/A,[],,,moderate,0
fill_diagonal,benchmarked,Misc,"min(m,n)",4.0000,6.2633,,"4,000 FLOPs (n=1000, C=1000)",,EC2 timing = 6.26 per diagonal element. Strided cache misses in large matrices.,,0.00,0.0000,N/A,N/A,N/A,N/A,[],,,moderate,0
insert,benchmarked,Misc,numel(values),4.0000,1.6005,,"4,000 FLOPs (1000 elements)",,EC2 timing ratio vs add = 1.6005.,,0.00,0.0000,N/A,N/A,N/A,N/A,[],,,moderate,0
mask_indices,benchmarked,Misc,numel(output),4.0000,4.5645,,"4,000 FLOPs (1000 elements)",,EC2 timing ratio vs add = 4.5645.,,0.00,0.0000,N/A,N/A,N/A,N/A,[],,,moderate,0
piecewise,benchmarked,Misc,numel(input),4.0000,13.7055,,"4,000 FLOPs (1000 elements)",,EC2 timing ratio vs add = 13.7055.,,0.00,0.0000,N/A,N/A,N/A,N/A,[],,,moderate,0
place,benchmarked,Misc,numel(input),4.0000,3.7818,,"4,000 FLOPs (1000 elements)",,EC2 timing ratio vs add = 3.7818.,,0.00,0.0000,N/A,N/A,N/A,N/A,[],,,moderate,0
putmask,benchmarked,Misc,numel(input),4.0000,3.0306,,"4,000 FLOPs (1000 elements)",,EC2 timing ratio vs add = 3.0306.,,0.00,0.0000,N/A,N/A,N/A,N/A,[],,,moderate,0
select,benchmarked,Misc,numel(input),4.0000,7.9267,,"4,000 FLOPs (1000 elements)",,EC2 timing ratio vs add = 7.9267.,,0.00,0.0000,N/A,N/A,N/A,N/A,[],,,moderate,0
take,benchmarked,Misc,numel(output),4.0000,3.8564,,"4,000 FLOPs (1000 elements)",,EC2 timing ratio vs add = 3.8564.,,0.00,0.0000,N/A,N/A,N/A,N/A,[],,,moderate,0
trim_zeros,benchmarked,Misc,num trimmed,4.0000,2.3378,,"4,000 FLOPs (C=1000)",,EC2 timing ratio vs add = 2.3378.,,0.00,0.0000,N/A,N/A,N/A,N/A,[],,,moderate,0
where,benchmarked,Misc,numel(input),4.0000,3.5686,,"4,000 FLOPs (1000 elements)",,EC2 timing ratio vs add = 3.5686.,,0.00,0.0000,N/A,N/A,N/A,N/A,[],,,moderate,0
allclose,benchmarked,Misc,n,1.0000,3.7001,,"1,000 FLOPs (1000 elements)",high,Element-wise tolerance check; cost = numel(a).,,3.70,6.5083,0.1536,0.0347,"np.allclose(a, b)","a: (10000000,), b: (10000000,)","[348214682, 370009734, 370009693]",1274318396,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_counting_ops.py#L45,baseline,10
array_equal,benchmarked,Misc,n,1.0000,0.6001,,"1,000 FLOPs (1000 elements)",low,Element-wise equality; cost = numel(a).,,0.60,0.5241,1.9080,0.3716,"np.array_equal(a, b)","a: (10000000,), b: (10000000,)","[28207571, 60009654, 60009598]",102616465,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_counting_ops.py#L60,baseline,10
array_equiv,benchmarked,Misc,n,1.0000,0.6001,,"1,000 FLOPs (1000 elements)",low,Element-wise equivalence; cost = numel(a).,,0.60,0.5176,1.9320,0.3716,"np.array_equiv(a, b)","a: (10000000,), b: (10000000,)","[28207571, 60009654, 60009598]",101344179,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_counting_ops.py#L82,baseline,10
clip,benchmarked,Misc,numel(output),1.0000,2.0000,,"1,000 FLOPs (1000 elements)",high,"Clip array to [a_min, a_max] element-wise.",,2.30,0.8446,1.1840,0.0408,"np.clip(x, -1.0, 1.0)","x: (10000000,), a_min=-1.0, a_max=1.0","[214116760, 230009687, 230009646]",165361079,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L505,baseline,10
diff,benchmarked,Misc,n,1.0000,1.3001,,"1,000 FLOPs (1000 elements)",medium,n-th discrete difference along axis.,,1.30,0.8974,1.1143,0.0736,np.diff(x),"x: (10000000,)","[114116711, 130009638, 130009597]",175714300,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L791,baseline,10
ediff1d,benchmarked,Misc,n,1.0000,1.3001,,"1,000 FLOPs (1000 elements)",medium,Differences between consecutive elements.,,1.30,0.8822,1.1335,0.0736,np.ediff1d(x),"x: (10000000,)","[114116711, 130009638, 130009597]",172734787,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L821,baseline,10
gradient,benchmarked,Misc,n,1.0000,2.3001,,"1,000 FLOPs (1000 elements)",high,Gradient using central differences.,,2.30,2.8186,0.3548,0.0408,np.gradient(x),"x: (10000000,)","[214116761, 230009688, 230009647]",551866623,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L807,baseline,10
unwrap,benchmarked,Misc,n,1.0000,6.7693,,"1,000 FLOPs (1000 elements)",medium,Phase unwrap. Cost: $\text{numel}(\text{input})$ (diff + conditional adjustment).,,6.77,17.4546,0.0573,0.0553,np.unwrap(x),"x: (10000000,)","[615433031, 676929798, 679869857]",3417569903,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_unwrap.py#L40,baseline,10
convolve,benchmarked,Misc,n * k,1.0000,2.0003,,"100,000 FLOPs (n=1000 k=100, C=100000)",high,1-D discrete convolution.,,2.00,0.5680,1.7606,0.0000,"np.convolve(x, k, mode='full')","x: (100000,), k: (1000,)","[2000152430, 2000312654, 2000312598]",1112186242,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L841,baseline,10
